timestamp,person,duration_seconds
2025-10-14T13:29:18.329383,affan,11
2025-10-14T13:29:20.183619,affan,1
2025-10-14T13:29:23.111154,affan,2
2025-10-14T13:29:25.344465,affan,1
2025-10-14T13:29:30.631967,affan,2
2025-10-14T13:29:35.239252,affan,0
2025-10-14T13:29:36.015844,affan,0
2025-10-14T13:29:37.367864,affan,0
2025-10-14T13:29:37.607422,affan,0
2025-10-14T13:29:47.604147,affan,9
2025-10-14T13:29:49.690929,affan,0
2025-10-14T13:29:50.292264,affan,0
2025-10-14T13:29:50.479402,affan,0
2025-10-14T13:29:50.863804,affan,0
2025-10-14T13:29:51.072010,affan,0
2025-10-14T13:29:51.374574,affan,0
2025-10-14T13:29:51.459660,affan,0
2025-10-14T13:29:52.164799,affan,0
2025-10-14T13:29:52.874440,affan,0
2025-10-14T13:30:04.134748,affan,0
2025-10-14T13:30:04.566143,affan,0
2025-10-14T13:30:04.661539,affan,0
2025-10-14T13:30:05.018309,affan,0
2025-10-14T13:30:05.090020,affan,0
2025-10-14T13:30:05.498025,affan,0
2025-10-14T13:30:05.653104,affan,0
2025-10-14T13:30:05.847738,affan,0
2025-10-14T13:30:05.897437,affan,0
2025-10-14T13:30:06.008505,affan,0
2025-10-14T13:30:06.101096,affan,0
2025-10-14T13:30:06.690135,affan,0
2025-10-14T13:30:07.044289,affan,0
2025-10-14T13:30:07.099372,affan,0
2025-10-14T13:30:07.203243,affan,0
2025-10-14T13:30:07.303828,affan,0
2025-10-14T13:30:07.430665,affan,0
2025-10-14T13:30:07.519192,affan,0
2025-10-14T13:30:08.561739,affan,0
2025-10-14T13:30:08.676593,affan,0
2025-10-14T13:30:08.808979,affan,0
2025-10-14T13:30:09.015202,affan,0
2025-10-14T13:30:09.308590,affan,0
2025-10-14T13:30:09.364524,affan,0
2025-10-14T13:30:09.575091,affan,0
2025-10-14T13:30:09.851081,affan,0
2025-10-14T13:30:09.947521,affan,0
2025-10-14T13:30:10.266690,affan,0
2025-10-14T13:30:10.341260,affan,0
2025-10-14T13:30:10.521046,affan,0
2025-10-14T13:30:10.618481,affan,0
2025-10-14T13:30:10.864895,affan,0
2025-10-14T13:30:11.119742,affan,0
2025-10-14T13:30:11.388397,affan,0
2025-10-14T13:30:11.478712,affan,0
2025-10-14T13:30:12.021790,affan,0
2025-10-14T13:30:12.145839,affan,0
2025-10-14T13:30:44.498012,affan,0
2025-10-14T13:30:44.636107,affan,0
2025-10-14T13:30:44.799577,affan,0
2025-10-14T13:30:45.021908,affan,0
2025-10-14T13:30:45.148485,affan,0
2025-10-14T13:30:45.444855,affan,0
2025-10-14T13:30:45.821282,affan,0
2025-10-14T13:30:51.603840,affan,5
2025-10-14T13:30:52.629949,affan,0
2025-10-14T13:31:17.004384,affan,24
2025-10-14T13:31:17.067345,affan,0
2025-10-14T13:31:17.150616,affan,0
2025-10-14T13:31:17.217592,affan,0
2025-10-14T13:31:17.534240,affan,0
2025-10-14T13:31:18.422630,affan,0
2025-10-14T13:31:18.665240,affan,0
2025-10-14T13:31:18.900516,affan,0
2025-10-14T13:31:31.558490,affan,12
2025-10-14T13:31:31.835767,affan,0
2025-10-14T13:31:31.901976,affan,0
2025-10-14T14:44:22.872737,pranav,0
2025-10-14T14:44:25.128150,pranav,0
2025-10-14T14:44:25.472052,pranav,0
2025-10-14T14:44:26.269124,pranav,0
2025-10-14T14:44:26.352013,pranav,0
2025-10-14T14:44:26.404003,pranav,0
2025-10-14T14:44:26.721355,pranav,0
2025-10-14T14:44:26.814069,pranav,0
2025-10-14T14:44:27.105108,pranav,0
2025-10-14T14:44:27.511032,pranav,0
2025-10-14T14:44:27.579145,pranav,0
2025-10-14T14:44:27.767742,pranav,0
2025-10-14T14:44:27.914596,pranav,0
2025-10-14T14:44:27.985087,pranav,0
2025-10-14T14:44:28.416048,pranav,0
2025-10-14T14:44:28.792273,pranav,0
2025-10-14T14:44:29.443620,pranav,0
2025-10-14T14:44:29.682218,pranav,0
2025-10-14T14:44:30.191108,pranav,0
2025-10-14T14:44:31.246433,pranav,0
2025-10-14T14:44:31.425248,pranav,0
2025-10-14T14:44:31.588911,pranav,0
2025-10-14T14:44:31.962617,pranav,0
2025-10-14T14:44:32.678597,pranav,0
2025-10-14T14:44:32.850102,pranav,0
2025-10-14T14:44:32.963474,pranav,0
2025-10-14T14:44:33.115371,pranav,0
2025-10-14T14:44:33.418697,pranav,0
2025-10-14T14:44:35.980436,pranav,0
2025-10-14T14:44:36.456876,pranav,0
2025-10-14T14:44:36.774595,pranav,0
2025-10-14T14:44:40.418404,pranav,0
2025-10-14T14:44:40.785554,pranav,0
2025-10-14T14:44:42.423676,pranav,0
2025-10-14T14:44:49.990904,pranav,4
2025-10-14T14:44:52.482142,pranav,2
2025-10-14T14:44:52.583335,pranav,0
2025-10-14T14:44:53.432898,pranav,0
2025-10-14T14:44:54.442240,pranav,0
2025-10-14T14:44:55.670692,pranav,1
